24-0000009159,02-0000176655,180,20130726,20130726,187756.1375,544968.7062,,,1,2,1,1166145,1,2013-0201-015,24-009159,13887,1,1
24-0000007020,02-0000167233,180,20141121,20200601,193489.775,547462.1125,삼일안전시스템,0,6,2,1,2271645,1,2019-0201-062,24-007020,12710,1,4
24-0000003779,02-0000131001,180,20070601,20141202,193787.1437,556837.7649,대한신호(주),,6,1,1,,1,2015-0101-003,24-003779,10405,1,2
24-0000009394,02-0000177275,180,20131115,20131115,192770.2236,554907.5455,한길,,6,2,1,23661310,1,2013-0101-023,24-009394,14122,1,4
24-0000001145,02-0000039127,180,20070601,20161019,205153.0125,542803.7687,(주)대한신호,,1,2,1,5102912,1,2016-0101-189,24-001145,3880,1,2
24-0000018337,02-0000156170,,20201202,20221118,189662.6639,549403.682,신흥트래픽,,1,2,1,1295937,1,2022-0101-074,24-018337,23065,,4
24-0000008925,02-0000029697,45,20120903,20170907,191642.2009,545098.1534,대한신호,0,1,2,1,,1,2017-1801-002,24-008925,3256,1,4
24-0000009702,02-0000178129,180,,,195698.3435,549205.2136,,,6,1,1,3224092,1,2014-0201-004,24-009702,14430,1,3
24-0000019809,02-0000118399,,20220920,20220920,187898.714,543540.2493,㈜대한신호,,1,2,1,1163451,1,2022-0101-074,24-019809,24537,,1
24-0000006088,02-0000158044,180,20080101,20080101,199839.7086,551424.5551,,0,1,1,1,,1,2010-0111-002,24-006088,11707,1,2
24-0000002836,02-0000058756,180,20070601,20070601,208221.1721,548656.4945,,,4,1,1,,1,2012-0101-013,24-002836,5058,1,2
24-0000018772,02-0000181015,,20210803,20210803,184088.5385,552951.8734,대한신호,,1,2,1,382843,1,2021-0101-079,24-018772,23500,,1
24-0000010560,02-0000109630,180,20000101,20160414,204441.35,546621.8062,(주)대한신호,,1,2,1,4199578,1,,24-010560,15288,1,2
24-0000009593,02-0000177796,180,20131128,20140515,205198.7,541878.0562,(주)한길HC,,6,2,1,5110025,1,2013-1801-004,24-009593,14321,1,2
24-0000020050,02-0000080800,,20221209,20221209,,,대한신호,,1,2,1,5451501,1,2022-0101-110,24-020050,24778,,1
24-0000019808,02-0000118398,,20220920,20220920,187904.9015,543555.7493,㈜대한신호,,1,2,1,1163462,1,2022-0101-074,24-019808,24536,,1
24-0000018771,02-0000181016,,20210803,20210803,184091.4135,552961.2484,대한신호,,1,2,1,382842,1,2021-0101-079,24-018771,23499,,1
